grid_id,road_length
21_36,3034.4893318898053
21_37,2818.8244864495045
21_38,3311.0327465925566
21_39,3298.974625509617
21_40,4205.411746193601
21_41,2820.1743418386786
21_42,2143.9893559392744
21_43,3800.3407003430852
21_44,2975.8614068039396
21_45,2747.6950373373293
21_46,3391.07285572675
21_47,4192.488914462085
21_48,1994.0544609421581
21_49,1935.2977355467451
21_50,2926.0507466795466
21_51,3207.132594192627
21_52,3475.6612266819425
21_53,4334.031531931984
21_54,3286.4438541361264
21_55,3377.4510971543195
21_56,4324.751914139867
21_57,2679.5923275788105
21_58,2986.083122075707
21_59,2791.8132634786593
21_60,3828.8241736193913
21_61,2314.102399482449
22_21,1478.0808437194962
22_22,3648.3124493126074
22_23,3694.5334239397193
22_24,2625.617992701421
22_25,1291.448161262789
22_26,1087.3431902789885
22_27,3174.3138592910136
22_28,5486.706570683666
22_29,3746.8009420397316
22_30,4140.3699811297565
22_31,3346.5245385215353
22_32,2778.9183619311707
22_33,2181.9290513001056
22_34,2755.164448913101
22_35,3786.513980013905
22_36,1833.3713400898318
22_37,4124.596391005756
22_38,1388.5741260890434
22_39,1670.092088354644
22_40,3937.0210690593954
22_41,4262.5848510633505
22_42,4471.3459840122605
22_43,4204.460052459209
22_44,3847.1867588686937
22_45,1685.5122542155752
22_46,1137.7578784608927
22_47,3783.18775881399
22_48,3916.2049528889775
22_49,4107.515472884262
22_50,3336.2584796913056
22_51,3511.5763081089153
22_52,1735.2538427490913
22_53,4491.807881584347
22_54,2756.0684898329264
22_55,3752.7745150300693
22_56,4195.216545840882
22_57,3898.759353537965
22_58,4732.392448734254
22_59,3767.9238992449646
22_60,3706.655600480589
22_61,1696.9240065272752
23_12,1842.8812878308217
23_13,1189.9801734279804
23_22,2972.6433341939914
23_23,1144.1898054215656
23_24,1261.0581107445887
23_25,872.0547800155454
23_26,2155.3557745614075
23_27,3742.6105442085227
23_28,3747.272113283121
23_29,3753.9775864996245
23_30,4300.037789865492
23_31,4195.247196887612
23_32,3764.0672529293693
23_33,3701.7443747400384
23_34,985.0003577702033
23_35,4278.948127206672
23_37,3958.0309340708773
23_38,240.189435949734
23_39,1002.9512025598369
23_40,4009.111384116719
23_41,3488.5547630277647
23_42,2435.7987546545733
23_43,2698.9033401715783
23_44,3511.7463549768654
23_45,1872.5976288826128
23_46,2944.1854432925593
23_47,2751.20801837623
23_48,3464.8442248034844
23_49,4866.958222575778
23_50,4578.0570965377965
23_51,3476.651247867381
23_52,2289.1599409907813
23_53,4069.6197927121675
23_54,3279.326610059633
23_55,4026.1780258327417
23_56,4407.125428757947
23_57,3581.1058877209434
23_58,3110.689176218712
23_59,3783.1280524453864
23_60,3276.8356334212517
24_12,4055.316894261493
24_13,2120.5856777696736
24_19,1337.7310572241142
24_22,2403.684828756203
24_23,2234.3148072027934
24_24,594.82544393847
24_25,3437.0910360156618
24_26,3663.5265399808086
24_27,3752.276450523726
24_28,3811.952401378233
24_29,2418.3772313542627
24_30,3753.9773366029153
24_31,3594.506115045726
24_32,2222.2319900260577
24_33,2517.25982615386
24_34,2324.2605020562905
24_35,2568.686630336359
24_36,3851.255909154468
24_37,882.8903579846542
24_38,2274.8089344204095
24_39,2239.5388602848616
24_40,2347.5789762453815
24_41,2578.318323575044
24_42,2793.7100233683263
24_43,1089.111444089648
24_44,1820.8318568470656
24_45,3891.8667324043518
24_46,4200.931260812975
24_47,3079.709792099582
24_48,2805.6005593931827
24_49,4163.546645932251
24_50,1955.2890701603383
24_51,962.9203359335945
24_52,4084.090393737829
24_53,4779.678621912501
24_54,3477.1502936363063
24_55,4342.824586772988
24_56,1863.2874165086862
24_57,400.61669983707145
24_58,4009.9347865032946
24_59,3033.9576828106847
24_60,1936.4619681680258
24_61,2042.2205385960199
24_62,635.4105935388628
25_10,3988.3091784239064
25_11,3874.8525654637856
25_12,4239.147941130006
25_13,1551.277199175565
25_18,2406.535485980691
25_19,523.7391319012021
25_20,788.2426277434006
25_21,1694.5770726596086
25_22,2532.321197759901
25_23,3884.457595092463
25_24,4370.5454602816135
25_25,3872.127204924228
25_26,5037.2647645636325
25_27,3982.2015937678525
25_28,2351.9968876893827
25_29,2703.9860106110486
25_30,3919.9100516858703
25_31,3574.3511745984197
25_32,4666.84867822457
25_33,3461.3841635244135
25_34,3352.682343351116
