grid_id,connectivity
16_48,1.5789473684210527
16_49,1.4705882352941178
16_50,1.78125
16_51,1.6216216216216217
16_52,1.4318181818181819
16_53,1.6923076923076923
16_54,1.375
16_55,1.7
16_56,1.5806451612903225
16_57,1.8235294117647058
16_58,1.5517241379310345
16_59,1.7777777777777777
16_60,2.25
16_61,2.0
17_19,1.75
17_20,1.3409090909090908
17_21,1.303030303030303
17_22,1.6
17_23,1.75
17_24,1.4666666666666666
17_25,1.4594594594594594
17_26,1.4736842105263157
17_27,1.6538461538461537
17_28,1.564102564102564
17_29,1.9090909090909092
17_30,1.411764705882353
17_31,1.5
17_32,1.4814814814814814
17_33,1.4193548387096775
17_34,1.8333333333333333
17_35,1.5555555555555556
17_36,1.9285714285714286
17_37,1.9
17_38,1.4
17_39,1.45
17_40,1.575
17_41,1.7058823529411764
17_42,1.875
17_43,1.4722222222222223
17_44,1.4838709677419355
17_45,1.290909090909091
17_46,1.5357142857142858
17_47,1.4705882352941178
17_48,1.5681818181818181
17_49,1.7647058823529411
17_50,1.5789473684210527
17_51,1.565217391304348
17_52,1.434782608695652
17_53,1.3
17_54,1.875
17_55,1.5
17_56,1.5588235294117647
17_57,1.4615384615384615
17_58,1.4651162790697674
17_59,1.7142857142857142
17_60,0.0
18_19,3.0
18_20,1.8125
18_21,1.5714285714285714
18_22,2.1538461538461537
18_23,1.85
18_24,1.3428571428571427
18_25,1.65
18_26,1.56
18_27,1.7083333333333333
18_28,1.6470588235294117
18_29,1.4285714285714286
18_30,1.565217391304348
18_31,1.5806451612903225
18_32,1.6666666666666667
18_33,1.55
18_34,1.45
18_35,1.2835820895522387
18_36,1.6333333333333333
18_37,1.5
18_38,1.380952380952381
18_39,1.6956521739130435
18_40,1.509090909090909
18_41,1.7
18_42,1.4166666666666667
18_43,1.4761904761904763
18_44,1.2285714285714286
18_45,1.4242424242424243
18_46,1.5869565217391304
18_47,1.3478260869565217
18_48,1.575
18_49,1.5517241379310345
18_50,1.4411764705882353
18_51,1.606060606060606
18_52,1.3777777777777778
18_53,1.3461538461538463
18_54,1.4545454545454546
