grid_id,Arable land,"Artificial, non-agricultural vegetated areas",Forests,Heterogeneous agricultural areas,"Industrial, commercial and transport units",Inland waters,"Mine, dump and construction sites",Pastures,Scrub and/or herbaceous vegetation associations,Urban fabric
12_31,0.0,0.0,0.0,0.0,95.12367486496693,0.0,0.0,0.0,0.0,4.876325135033065
12_32,0.0,3.7377959143774016,0.0,0.0,17.21673162047854,0.0,0.0,0.0,0.0,79.04547246514406
12_33,0.0,82.42724148159127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.572758518408747
12_34,0.0,24.570163493857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.42983650614273
12_35,0.0,52.29850086674532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.701499133254686
12_36,0.0,27.58170151201173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41829848798827
12_37,0.0,23.0669635926415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9330364073585
12_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_42,0.0,9.944644401787055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.05535559821294
12_43,0.0,8.178592695411869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.82140730458812
12_44,0.0,15.073846568473392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.92615343152661
12_45,0.0,47.59948272688298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40051727311701
12_46,0.0,4.178258045050151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.82174195494984
12_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_50,0.0,0.0,0.0,0.0,0.47068035552167403,0.0,0.0,0.0,0.0,99.52931964447832
12_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000001
