OA11CD,LSOA11CD
E00045354,E01008946
E00047041,E01009265
E00047814,E01009455
E00045951,E01009049
E00047895,E01009467
E00045969,E01009058
E00047685,E01009421
E00047604,E01009408
E00047964,E01009461
E00046179,E01009104
E00046748,E01009207
E00047359,E01009326
E00046564,E01009184
E00045649,E01008984
E00046476,E01009168
E00047233,E01009315
E00047555,E01009397
E00165817,E01032591
E00047738,E01009431
E00047821,E01009434
E00046490,E01009173
E00046411,E01033640
E00046990,E01009278
E00047678,E01009432
E00046911,E01009252
E00048013,E01009482
E00046931,E01009256
E00047872,E01009448
E00047229,E01009318
E00047952,E01009463
E00045536,E01008967
E00046474,E01009169
E00047462,E01009378
E00045372,E01008949
E00047172,E01009302
E00175770,E01033634
E00046851,E01009234
E00046326,E01009131
E00047592,E01009391
E00047513,E01009377
E00046530,E01009174
E00047851,E01009441
E00047286,E01009313
E00047475,E01009362
E00047304,E01009334
E00046357,E01033627
E00047385,E01009361
E00047236,E01009318
E00045704,E01009000
E00045785,E01009023
E00047495,E01009373
E00047414,E01009352
E00047448,E01009364
E00046663,E01009201
E00045921,E01009061
E00047399,E01009347
E00047318,E01009337
E00045416,E01008953
E00046706,E01009213
E00046787,E01009233
E00048055,E01009477
E00045467,E01008963
E00047342,E01009331
E00046036,E01009077
E00046461,E01009168
E00045455,E01008962
E00047623,E01009409
E00048115,E01009501
E00048194,E01009507
E00045335,E01008944
E00048075,E01009495
E00046463,E01009170
E00048129,E01009511
E00045773,E01009022
E00047526,E01033648
E00046575,E01009185
E00045271,E01008930
E00047241,E01009319
E00046774,E01009230
E00045734,E01033632
E00047599,E01009413
E00047518,E01009377
E00048092,E01009499
E00046989,E01009276
E00046908,E01009261
E00046925,E01009251
E00046927,E01009253
E00048029,E01009490
E00046738,E01009205
E00048150,E01009516
E00047729,E01009426
E00046578,E01009185
E00046022,E01033562
E00045665,E01009005
E00048182,E01009520
E00048103,E01009502
E00048201,E01009511
E00045241,E01008905
E00175734,E01009121
E00047366,E01009325
E00045324,E01008928
E00046420,E01009151
E00046975,E01009273
E00046013,E01009075
E00045439,E01008960
E00045655,E01008982
E00046341,E01009134
E00046667,E01009201
E00048159,E01009515
E00047135,E01009284
E00047499,E01009375
E00047418,E01033635
E00047813,E01009455
E00047892,E01009469
E00046321,E01009129
E00046431,E01009170
E00046733,E01009219
E00048161,E01009518
E00045237,E01033637
E00047845,E01009442
E00047230,E01009317
E00047572,E01009382
E00047302,E01009329
E00048052,E01009475
E00047647,E01009400
E00047383,E01009361
E00045174,E01008901
E00047103,E01009281
E00047182,E01009304
E00047898,E01009471
E00047819,E01009434
E00047645,E01009413
E00047537,E01009393
E00047775,E01009419
E00045574,E01008975
E00047768,E01009418
E00046860,E01009241
E00047446,E01009379
E00175660,E01033618
E00046313,E01009130
E00046392,E01009147
E00046763,E01009223
E00047497,E01009366
E00047416,E01009349
E00045093,E01008894
E00046850,E01009237
E00045535,E01008967
E00046753,E01009206
E00048181,E01009521
E00048100,E01009501
E00046348,E01009140
E00175797,E01009146
E00045165,E01008892
E00045600,E01008988
E00046789,E01009233
E00045681,E01009007
E00047886,E01009448
E00047807,E01009435
E00046004,E01009074
E00046085,E01009082
E00047439,E01009359
E00046046,E01009067
E00175628,E01033557
E00046780,E01009232
E00046701,E01009215
E00045974,E01033562
E00047707,E01009425
E00045220,E01008916
